Companyname,Phone,Address
BeYou Family Salon & Bridal Studio(Kothapet),099486 12346,"11-9-104, above MRF Tyre Showroom, opp. to PVT Market, Pratap Nagar, Kothapet, Hyderabad, Telangana 500035"
SS Queens Beauty Academy,093915 76308,"Rajeswari Apartment, Chaitanyapuri Main Rd, Pratap Nagar, Kothapet, Hyderabad, Telangana 500060"
Sincere Men's Beauty Saloon,098661 19115,"Shop.No. 1-71, Mithra Sai Towers, beside GBR Hospital Buildings, Prabhat Nagar, Pratap Nagar, Kothapet, Hyderabad, Telangana 500035"
Aadya MakeUp Studio & Academy -Bridal makeup artist,093473 65922,"Kalyan Mandapam, Dilsukhnagar Sri Nagar Colony F. No. 405, C. B. Eastern Home C.B. Eastern Home, beside Annapurna Complex, Hyderabad, Telangana 500060"
Beauty Balance,078420 44445,"16-11-16/N/70, West Prashanthi Nagar,Moosarambagh, Moosarambagh Rd, Malakpet Extension, Old Malakpet, Hyderabad, Telangana 500036"
Looks Hair Studio,081216 66650,"Central Bank of India Line, Plot No. 4-56, 1st floor, Vikas Nagar, Krishna Nagar, Dilsukhnagar, Hyderabad, Telangana 500060"
Green Day Spa - Manikonda,091548 07091,"52, Huda Colony Main Rd, near HDFC Bank, opp. EURO KIDS SCHOOL, Tanasha Nagar, Tanashah Nagar, Manikonda, Pokalwada, Telangana 500089"
Beauty Parlour for Ladies,073962 33703,"D 403 Shalivahananagar 7, Near current office opposite jublee arcade, Hyderabad, Telangana 500060"
Shinebeautyparlour &Training institute,095055 50906,"Rupa towers cellar, Andhra Bank Rd, Vikas Nagar, New Dilsukh Nagar Colony, Dilsukhnagar, Hyderabad, Telangana 500060"
Rishika family Salon,086860 56103,"Shop 2, Chaitanyapuri Main Rd, opp. Vasavi Homes, Prabhat Nagar Colony, Dilsukhnagar, Hyderabad, Telangana 500060"
Sri colours Beauty parlour PMU Peels & Nail Art,070937 12702,"Shop no. 12, L V Towers, Maruthi Nagar Rd, Chaitanyapuri, Kothapet, Hyderabad, Telangana 500060"
Honey Beauty Parlour,093912 02618,"9G8G+98R, Konark Theatre Ln, opposite Sai Ram Hospital, Lalitha Nagar, Dilsukhnagar, Hyderabad, Telangana 500060"
Anoos Dilsukhnagar,093331 63333,"House No. 5-25, 1st floor, Ccpl Susheela Complex, Dilsukh Nagar Main Rd, above Bata Showroom, Hyderabad, Telangana 500060"
Elsewhere Salon,098666 07020,"13-14-57, P and T Colony Rd, Sainath Colony, Sahithi Nagar, Dilsukhnagar, Hyderabad, Telangana 500060"
Maan's Unisex Salon,091828 67846,"bus depo, back side line, near basham school, Shalivahana Nagar, Shalivahana Nagar Colony, Dilsukhnagar, Hyderabad, Telangana 500060"
Soha Beauty Parlour And Training Institute For Ladies,098857 88785,"H.No: 14, 16, Kodandaram Nagar Rd, Kanchi Residency, Sahithi Nagar, Dilsukhnagar, Hyderabad, Telangana 500060"
Vaishnavi Beauty Parlour,091820 63883,"Maruthi Nagar Rd, near Swapna hospital, Millenium Residency, Chaitanyapuri, Kothapet, Hyderabad, Telangana 500060"
Rich feel beauty saloon,099896 21163,"3, VV Nagar Rd, VR Colony, Chaitanyapuri, Dilsukhnagar, Hyderabad, Telangana 500060"
Life Slimming and Cosmetic Clinic,095334 45566,"5th floor, Kontham Ram Reddy Complex Opp Kothapet Fruit Market, Kothapet, Dilsukhnagar, Hyderabad, Telangana 500060"
Stago Spa Hair And Beauty Salon Tattoos,040 4262 0993,"16-11-787/2, Moosarambagh Rd, opp. SUPRABHAT TIFFINS, East Prasanth Nagar, Moosarambagh, Hyderabad, Telangana 500036"
House of beauty,093819 22153,"Bhashyam school line, Bhavani Nagar, New Dilsukh Nagar Colony, Dilsukhnagar, Hyderabad, Telangana 500060"
Colours beauty parlour,091824 86796,"13-12/25, 1/A, VV Nagar Rd, VV Nagar, P & T Colony, Dilsukhnagar, Hyderabad, Telangana 500060"
EESHA beauty parlour cum tailoring And Maggam Works,093969 39194,"maxvision eye care lane, 4, opposite Hyderabad, Shalivahana Nagar, Sarita Arcade, Shalivahana Nagar Colony, Dilsukhnagar, Hyderabad, Telangana 500060"
Unique Beauty Saloon &Spa( only for ladies ),088014 67293,"Bashyam School, Shop No: 16-11-511/C/16&17, Shalivahana Nagar, X Road, Bhavani Nagar, Dilsukhnagar, Hyderabad, Telangana 500060"
Dreams Unisex Beauty Spa & Hair Saloon,095333 24594,"H. -48, Qureshi Building, Street Number 7, Madhura Puri Colony, Dilsukhnagar, Hyderabad, Telangana 500060"
Sr Beauty parlour and training center,095057 63631,"HNO, 40, Dharmapuri Colony Main Rd, Saroornagar, Narayan Puri Colony, Bhagya Nagar, Hyderabad, Telangana 500035"
swagath men's beauty salon,095421 35676,"wheel teck, Sainagar Rd, Beside sreesai, Chaitanyapuri, Dilsukhnagar, Hyderabad, Telangana 500060"
SUHASINI BEAUTY PARLOUR,091334 79131,"shop No 8-8G, kavery curry point, Gokul complex, road, Shalivahana Nagar, Gowtham Nagar, Shalivahana Nagar Colony, Dilsukhnagar, Hyderabad, Telangana 500060"
Hi -Tech Beauty Clinic Training Centre,099488 15387,"1, Sai Baba Temple Rd, Swati Tower, Kamala Nagar, Dilsukhnagar, Hyderabad, Telangana 500060"
Zaina's Beauty Heaven,092484 22950,"500060, Kalyani Estate, Madhura Puri Colony, Gaddiannaram, Hyderabad, Telangana 500060"
Touchh Ladies Beauty Salon,095818 14000,"Ground floor, Parimala Nilayam, Saidabad Colony Rd, State Bank Colony, Saidabad, Hyderabad, Telangana 500059"
Latha Beauty Parlour,092472 33566,"9G7J+38F, Saroornagar, Dilsukhnagar, Hyderabad, Telangana 500060"
Star Beauty Salon & Training Centre,090599 94844,"11-8-10/1, 1st floor, Huda Colony, Saroor Nagar Rd, beside Victoria Memorial Home, gate, Kothapet, Hyderabad, Telangana 500035"
Priya's Parlour,079818 34180,"Road no 5 ,lane no 7, P and T colony Sharada theatre line, opposite Venkateshwara Swamy temple Arch, Saroornagar, Dilsukhnagar, Telangana 500060"
Vinod Barber Shop,091601 55699,"Bharadwaja Complex, Gaddiannaram Rd, Kanchi Residency, Sahithi Nagar, Dilsukhnagar, Hyderabad, Telangana 500060"
Orane International School of Hair Skin And Makeup,091548 36649,"House-no 23-25/4 , 1st floor Above Kalyan jewellers, Beside Chaitanyapuri metro station Krishna veni nagar, Opp Fruit market, Kothapet, Dilsukhnagar, Telangana 500060"
Sweekar Beauty Clinic,040 2406 1593,"Metro Station Dilsukhnagar, 16-11-577, Flat No 115 & 116, Shiva Ganga Theatre Road, Gaddi Annaram, Dilsukh Nagar, Dilsukh Nagar, Hyderabad, Telangana 500060"
